day_of_year,hour,latitude_deg,tilt_deg,surface_azimuth_deg,incidence_angle_deg
1,6.0,32.0,0.0,0.0,109.399774
4,7.0,32.0,0.0,0.0,95.163854
7,8.0,32.0,0.0,0.0,82.072111
10,9.0,32.0,0.0,0.0,70.332002
13,10.0,32.0,0.0,0.0,60.478918
16,11.0,32.0,0.0,0.0,53.413372
19,12.0,32.0,0.0,0.0,50.243652
22,13.0,32.0,0.0,0.0,51.664227
25,14.0,32.0,0.0,0.0,57.344853
28,15.0,32.0,0.0,0.0,66.234611
31,16.0,32.0,0.0,0.0,77.294114
34,17.0,32.0,0.0,0.0,89.815508
37,18.0,32.0,0.0,0.0,103.408923
40,6.0,32.0,0.0,0.0,102.623982
43,7.0,32.0,0.0,0.0,87.330442
46,8.0,32.0,0.0,0.0,72.710702
49,9.0,32.0,0.0,0.0,58.880069
52,10.0,32.0,0.0,0.0,46.289189
55,11.0,32.0,0.0,0.0,36.063974
58,12.0,32.0,0.0,0.0,30.530691
61,13.0,32.0,0.0,0.0,32.114901
64,14.0,32.0,0.0,0.0,39.920018
67,15.0,32.0,0.0,0.0,51.128691
70,16.0,32.0,0.0,0.0,63.931474
73,17.0,32.0,0.0,0.0,77.48983
76,18.0,32.0,0.0,0.0,91.396567
79,6.0,32.0,0.0,0.0,90.390977
82,7.0,32.0,0.0,0.0,74.365127
85,8.0,32.0,0.0,0.0,58.136402
88,9.0,32.0,0.0,0.0,41.269196
91,10.0,32.0,0.0,0.0,22.121643
94,11.0,32.0,0.0,0.0,0.0
97,12.0,32.0,0.0,0.0,0.0
100,13.0,32.0,0.0,0.0,0.0
103,14.0,32.0,0.0,0.0,9.919831
106,15.0,32.0,0.0,0.0,32.689057
109,16.0,32.0,0.0,0.0,49.362187
112,17.0,32.0,0.0,0.0,64.630049
115,18.0,32.0,0.0,0.0,79.06526
118,6.0,32.0,0.0,0.0,78.249951
121,7.0,32.0,0.0,0.0,62.144184
124,8.0,32.0,0.0,0.0,44.670605
127,9.0,32.0,0.0,0.0,23.10548
130,10.0,32.0,0.0,0.0,0.0
133,11.0,32.0,0.0,0.0,0.0
136,12.0,32.0,0.0,0.0,0.0
139,13.0,32.0,0.0,0.0,0.0
142,14.0,32.0,0.0,0.0,0.0
145,15.0,32.0,0.0,0.0,15.797849
148,16.0,32.0,0.0,0.0,39.262823
151,17.0,32.0,0.0,0.0,56.268396
154,18.0,32.0,0.0,0.0,71.295183
157,6.0,32.0,0.0,0.0,70.999736
160,7.0,32.0,0.0,0.0,55.382298
163,8.0,32.0,0.0,0.0,37.558181
166,9.0,32.0,0.0,0.0,10.016199
169,10.0,32.0,0.0,0.0,0.0
172,11.0,32.0,0.0,0.0,0.0
175,12.0,32.0,0.0,0.0,0.0
178,13.0,32.0,0.0,0.0,0.0
181,14.0,32.0,0.0,0.0,0.0
184,15.0,32.0,0.0,0.0,10.70165
187,16.0,32.0,0.0,0.0,37.870314
190,17.0,32.0,0.0,0.0,55.717121
193,18.0,32.0,0.0,0.0,71.398344
196,6.0,32.0,0.0,0.0,71.75586
199,7.0,32.0,0.0,0.0,56.790509
202,8.0,32.0,0.0,0.0,39.932234
205,9.0,32.0,0.0,0.0,17.265757
208,10.0,32.0,0.0,0.0,0.0
211,11.0,32.0,0.0,0.0,0.0
214,12.0,32.0,0.0,0.0,0.0
217,13.0,32.0,0.0,0.0,0.0
220,14.0,32.0,0.0,0.0,0.0
223,15.0,32.0,0.0,0.0,24.75642
226,16.0,32.0,0.0,0.0,45.75579
229,17.0,32.0,0.0,0.0,63.130151
232,18.0,32.0,0.0,0.0,79.247555
235,6.0,32.0,0.0,0.0,80.086338
238,7.0,32.0,0.0,0.0,65.692229
241,8.0,32.0,0.0,0.0,50.581632
244,9.0,32.0,0.0,0.0,34.350468
247,10.0,32.0,0.0,0.0,14.290689
250,11.0,32.0,0.0,0.0,0.0
253,12.0,32.0,0.0,0.0,0.0
256,13.0,32.0,0.0,0.0,0.0
259,14.0,32.0,0.0,0.0,24.680898
262,15.0,32.0,0.0,0.0,42.82652
265,16.0,32.0,0.0,0.0,59.375689
268,17.0,32.0,0.0,0.0,75.465287
271,18.0,32.0,0.0,0.0,91.440288
274,6.0,32.0,0.0,0.0,92.429998
277,7.0,32.0,0.0,0.0,78.54534
280,8.0,32.0,0.0,0.0,65.083335
283,9.0,32.0,0.0,0.0,52.465528
286,10.0,32.0,0.0,0.0,41.544457
289,11.0,32.0,0.0,0.0,34.061799
292,12.0,32.0,0.0,0.0,32.546366
295,13.0,32.0,0.0,0.0,37.779641
298,14.0,32.0,0.0,0.0,47.643105
